state.district,MemberName,Destination,TravelSponsor,Departure_Date,Return_Date,travel.time,namedate
MN6,"Bachmann, Michele","New Orleans, LA","The Congressional Institute, the Democratic Leadership Council and the Entergy-Tulane Energy Institu",7/27/08,7/28/08,2,MN6 2008-07-27
MN6,"Bachmann, Michele","Jerusalem, Israel Galilee, Is",Jewish Community Relations Council,11/8/08,11/14/08,7,MN6 2008-11-08
AL6,"Bachus, Spencer",Turkey,"Turkish Cultural Center, New York",3/15/08,3/22/08,8,AL6 2008-03-15
AL6,"Bachus, Spencer","New York, New York","International Tax Institute, Inc.",9/16/08,9/16/08,1,AL6 2008-09-16
AL6,"Bachus, Spencer","Atlanta, GA",FHLB Atlanta,10/21/07,10/22/07,2,AL6 2007-10-21
AL6,"Bachus, Spencer","Boston, MA",National Bureau of Economics Research,4/3/08,4/4/08,2,AL6 2008-04-03
AL6,"Bachus, Spencer","White Sulphur Springs, WV",The Congressional Institute,1/24/08,1/26/08,3,AL6 2008-01-24
AL6,"Bachus, Spencer","Ft. Myers, FL",National Bureau of Economic Research,3/27/08,3/31/08,5,AL6 2008-03-27
AL6,"Bachus, Spencer","Birmingham, AL",U.S. Association of Former Members of Congress,5/8/08,5/10/08,3,AL6 2008-05-08
AL6,"Bachus, Spencer","Tokyo, Japan",Japan Center for International Exchange (JCIE),8/23/08,8/30/08,8,AL6 2008-08-23
WA3,"Baird, Brian","Wenatchee, WA",Washington Public Utility Districts Association,3/25/08,3/27/08,3,WA3 2008-03-25
WA3,"Baird, Brian","Queenstown, MD",Third Way,10/26/07,10/28/07,3,WA3 2007-10-26
WI2,"Baldwin, Tammy","Baltimore, MD",Catholic Health Association,2/21/08,2/22/08,2,WI2 2008-02-21
WI2,"Baldwin, Tammy","Philadelphia, PA",Alliance for Health Reform - funded by a grant from the Commonwealth Fund,1/10/08,1/12/08,3,WI2 2008-01-10
WI2,"Baldwin, Tammy","Northampton, MA",Smith College,2/19/08,2/20/08,2,WI2 2008-02-19
WI2,"Baldwin, Tammy","San Francisco, CA",National Center for Lesbian Rights,5/30/08,6/1/08,3,WI2 2008-05-30
WI2,"Baldwin, Tammy",Las Vegas,Consumer Electronics Association,1/6/08,1/8/08,3,WI2 2008-01-06
SC3,"Barrett, J. Gresham","Baltimore, MD",The Heritage Foundation,1/30/08,1/31/08,2,SC3 2008-01-30
SC3,"Barrett, J. Gresham","Charleston, SC","The German Marshall Fund of the United States, Robert Bosch Stiftung",2/22/08,2/23/08,2,SC3 2008-02-22
SC3,"Barrett, J. Gresham","Atlanta, GA",FHLB of Atlanta,10/21/07,10/22/07,2,SC3 2007-10-21
GA12,"Barrow, John","Baltimore, MD",Mercatus Center at George Mason University,2/22/08,2/23/08,2,GA12 2008-02-22
MD6,"Bartlett, Roscoe G.","Baltimore, MD",The Heritage Foundation,1/30/08,2/1/08,3,MD6 2008-01-30
TX6,"Barton, Joe","Las Vegas, NV",Consumer Electronics Association,1/6/08,1/8/08,3,TX6 2008-01-06
TX6,"Barton, Joe","Indianapolis, IN",Indiana Energy Association,9/20/07,9/21/07,2,TX6 2007-09-20
TX6,"Barton, Joe","Berlin, Germany",U.S. Association of Former Members of Congress,10/5/07,10/10/07,6,TX6 2007-10-05
TX6,"Barton, Joe","Paris, France",The Potomac Foundation,11/3/07,11/7/07,5,TX6 2007-11-03
TX6,"Barton, Joe","Cambridge, MD",Congressional Institute,11/1/07,11/3/07,3,TX6 2007-11-01
TX6,"Barton, Joe","New York, NY",Verizon Wireless,3/18/08,3/19/08,2,TX6 2008-03-18
TX6,"Barton, Joe","New Orleans, LA",National Cable and Telecommunications Association (NCTA),5/18/08,5/19/08,2,TX6 2008-05-18
TX6,"Barton, Joe","Boston, MA",Massachusetts Institute of Technology and Ewing Marion Kuffman Foundation,3/26/08,3/28/08,3,TX6 2008-03-26
TX6,"Barton, Joe","White Sulphur Springs, WV",Congressional Institute,1/24/08,1/26/08,3,TX6 2008-01-24
TX6,"Barton, Joe","Portland, OR",Information Technology and Innocation Foundation,6/30/08,7/2/08,3,TX6 2008-06-30
TX6,"Barton, Joe",see attached,American Exploration and Production Council (AXPC),8/18/08,8/20/08,3,TX6 2008-08-18
TX6,"Barton, Joe","New Orleans, LA",Congressional Institute,7/27/08,7/28/08,2,TX6 2008-07-27
TX6,"Barton, Joe","Aspen, CO",The Progress and Freedom Foundation,8/17/08,8/20/08,4,TX6 2008-08-17
TX6,"Barton, Joe","Perryman, MD",Rite Aid Corportation,12/3/08,12/3/08,1,TX6 2008-12-03
TX6,"Barton, Joe","Palmyra, PA",Robert Wood Johnson Foundation,12/17/08,12/17/08,1,TX6 2008-12-17
IL8,"Bean, Melissa L.",Jerusalem,American Israel Education Foundation,1/6/08,1/12/08,7,IL8 2008-01-06
IL8,"Bean, Melissa L.","Queenstown, MD",Third Way,10/26/07,10/26/07,1,IL8 2007-10-26
IL8,"Bean, Melissa L. (Amendment)",Israel,American Israel Education Foundation (AIEF),1/5/08,1/13/08,9,IL8 2008-01-05
CA31,"Becerra, Xavier","Las Vegas, NV",National Association of Latino Electied and Appointed,12/8/07,12/8/07,1,CA31 2007-12-08
CA31,"Becerra, Xavier","Lisbon, Portugal","Luso-AMerican Foundation and Bertlelsman Stiftung, Germany",11/25/07,12/1/07,7,CA31 2007-11-25
CA31,"Becerra, Xavier","Stanford, CA",Stanford University,10/10/08,10/11/08,2,CA31 2008-10-10
CA31,"Becerra, Xavier","Houston, TX",Asian and Pacific Islander American Health Forum,7/18/08,7/19/08,2,CA31 2008-07-18
CA31,"Becerra, Xavier","Miami, Fl",Univision Network,9/8/07,9/8/07,1,CA31 2007-09-08
CA31,"Becerra, Xavier",Tel Aviv. Israel,American Israel Education Foundation,1/5/08,1/13/08,9,CA31 2008-01-05
CA31,"Becerra, Xavier",Bocas del Toro,Smithsonian Institution,1/4/08,1/11/08,8,CA31 2008-01-04
CA31,"Becerra, Xavier","Mexico City, Mexico",Global Exchange,2/8/08,2/9/08,2,CA31 2008-02-08
NV1,"Berkley, Shelley",Algiers,Defense Forum Foundation,11/26/07,12/2/07,7,NV1 2007-11-26
NV1,"Berkley, Shelley","Queenstown, MD",Third Way,10/26/07,10/28/07,3,NV1 2007-10-26
NV1,"Berkley, Shelley","Paris, France",The Potomac Foundation,11/3/07,11/7/07,5,NV1 2007-11-03
NV1,"Berkley, Shelley","New York City, NY",Zionist Organization of America,11/18/07,11/19/07,2,NV1 2007-11-18
NV1,"Berkley, Shelley","Baltimore, MD",Catholic Health Association,2/21/08,2/22/08,2,NV1 2008-02-21
NV1,"Berkley, Shelley","Berlin, Germany",The Potomac Foundation,6/4/08,6/7/08,4,NV1 2008-06-04
NV1,"Berkley, Shelley","Greenwich, CT",UJA Federation of Geenwich,12/5/08,12/7/08,3,NV1 2008-12-05
CA28,"Berman, Howard L.","San Francisco, CA",Stanford Law School,2/15/08,2/19/08,5,CA28 2008-02-15
CA28,"Berman, Howard L.","Havana, Cuba",Lexington Institute,5/24/08,5/28/08,5,CA28 2008-05-24
CA28,"Berman, Howard L.","New York, NY",American Youth Policy Forum,12/5/07,12/7/07,3,CA28 2007-12-05
CA28,"Berman, Howard L.","Baltimore, MD",Mercatus Center at George Mason University,2/22/08,2/23/08,2,CA28 2008-02-22
CA28,"Berman, Howard L.","Atlanta, GA",Campaign for Public Health,3/24/08,3/25/08,2,CA28 2008-03-24
CA28,"Berman, Howard L.","Jacksonville, FL",The Howard Gilman Foundation and The National Security Network,3/27/08,3/30/08,4,CA28 2008-03-27
CA28,"Berman, Howard L.","Cairo, Egypt",ACYPL,3/22/08,3/28/08,7,CA28 2008-03-22
CA28,"Berman, Howard L.","Rome, Italy",The Aspen Institute Congressional Program,5/26/08,6/1/08,7,CA28 2008-05-26
CA28,"Berman, Howard L.",Jerusalem,The Saban Center at Brookings,11/1/07,11/6/07,6,CA28 2007-11-01
CA28,"Berman, Howard L.","Liberia, Costa Rica",The Apsen Institute Congressional Program,11/26/07,12/2/07,7,CA28 2007-11-26
CA28,"Berman, Howard L.","Paris, France",The Aspen Institute COngressional Program,8/16/08,8/23/08,8,CA28 2008-08-16
CA28,"Berman, Howard L.",New York,Humpty Dumpty Institute and United Nations Foundations,12/4/08,12/5/08,2,CA28 2008-12-04
AR1,"Berry, Marion","Gore, OK",Southwestern Power Resources Association,11/13/07,11/15/07,3,AR1 2007-11-13
AR1,"Berry, Marion","Cincinnati, OH","The Congressional Institute,The Democratic Leadership CouncilThe Cincinnati Children's Hospital Me",4/28/08,4/28/08,1,AR1 2008-04-28
AR1,"Berry, Marion",Istanbul,The Rumi Forum,5/24/08,6/1/08,9,AR1 2008-05-24
IL13,"Biggert, Judy","Chesapeake, MD",Congressional Institute,11/1/07,11/3/07,3,IL13 2007-11-01
CA50,"Bilbray, Brian P.",Maryland,Congressional Institute,11/1/07,11/3/07,3,CA50 2007-11-01
CA50,"Bilbray, Brian P.","Orlando, FL",HIMSS,2/23/08,2/25/08,3,CA50 2008-02-23
FL9,"Bilirakis, Gus","Cambridge, MD",The Congressional Institute,11/1/07,11/3/07,3,FL9 2007-11-01
FL9,"Bilirakis, Gus","Orlando, FL","Florida State Association of Masonic High Twelve Clubs, Inc.",12/2/07,12/3/07,2,FL9 2007-12-02
UT1,"Bishop, Rob","Charleston, SC","The German Marshall Fund of the United States, Robert Bosch Stiftung",2/22/08,2/25/08,4,UT1 2008-02-22
UT1,"Bishop, Rob","Salt Lake City, UT",The U.S. Association of Former Members of Congress' Congressional Study,5/15/08,5/19/08,5,UT1 2008-05-15
UT1,"Bishop, Rob","Annapolis, MD",The Heritage Foundation,4/18/08,4/19/08,2,UT1 2008-04-18
UT1,"Bishop, Rob","Baltimore, MD",Heritage Foundation,1/30/08,2/1/08,3,UT1 2008-01-30
GA2,"Bishop, Sanford",Istanbul,Tusckon US,3/22/08,3/29/08,8,GA2 2008-03-22
GA2,"Bishop, Sanford","Tunica, MS",Congressional Black Caucus Political Education and Leadership Institute,8/14/08,8/17/08,4,GA2 2008-08-14
TN7,"Blackburn, Marsha","Palm Beach, FL",Club of Growth,2/1/08,2/2/08,2,TN7 2008-02-01
TN7,"Blackburn, Marsha","Baltimore, MD",Heritage Foundation,1/30/08,2/1/08,3,TN7 2008-01-30
OR3,"Blumenauer, Earl","Boston, MA",Lincoln Institute of Land Policy,4/11/08,4/14/08,4,OR3 2008-04-11
OR3,"Blumenauer, Earl","Las Vegas, NV",American Planning Association,4/27/08,4/28/08,2,OR3 2008-04-27
OR3,"Blumenauer, Earl","Rome, Italy",The Aspen Institute Congressional Program,5/26/08,6/1/08,7,OR3 2008-05-26
OR3,"Blumenauer, Earl","New York, NY",The Surnda Foundation,2/10/08,2/12/08,3,OR3 2008-02-10
OR3,"Blumenauer, Earl","Los Angeles, CA",GreenXchange,12/9/07,12/10/07,2,OR3 2007-12-09
OR3,"Blumenauer, Earl","Miami, FL",Rail~Volution,11/2/07,11/3/07,2,OR3 2007-11-02
OR3,"Blumenauer, Earl","New York CIty, New York",THe Rockefeller Foundation,6/11/08,6/11/08,1,OR3 2008-06-11
OR3,"Blumenauer, Earl","San Francisco, CA",Rail-Voultion,10/26/08,11/3/08,9,OR3 2008-10-26
OR3,"Blumenauer, Earl","San Francisco, CA",Rail-Volution,10/27/08,10/28/08,2,OR3 2008-10-27
OR3,"Blumenauer, Earl","Chicago, Il",The Rockefeller Foundation and The Metropolitan Planning COuncil,11/16/08,11/17/08,2,OR3 2008-11-16
OR3,"Blumenauer, Earl","Sacramento, CA",Pegional Plan Association,12/2/08,12/2/08,1,OR3 2008-12-02
MO7,"Blunt, Roy","Cambridge, MD",The Congressional Institute,11/1/07,11/4/07,4,MO7 2007-11-01
MO7,"Blunt, Roy","Cambridge, MD",The Congressional Institute,11/2/07,11/3/07,2,MO7 2007-11-02
MO7,"Blunt, Roy","Gore, OK",Southwest Power Resources Association,11/13/07,11/14/07,2,MO7 2007-11-13
MO7,"Blunt, Roy","White Sulphur Springs, WV",Congressional Institute,1/24/08,1/26/08,3,MO7 2008-01-24
MO7,"Blunt, Roy",Tel Aviv,American Israel Education Foundation (AIEF),12/6/08,12/14/08,9,MO7 2008-12-06
OH8,"Boehner, John A.","White Sulphur Springs, WV",Congressional Institute,1/24/08,1/26/08,3,OH8 2008-01-24
OH8,"Boehner, John A.","Jerusalem and Tel Aviv, Israel",American Israel Education Foundation,1/5/08,1/14/08,10,OH8 2008-01-05
OH8,"Boehner, John A.","Cambridge, MD",The Congressional Institute,11/1/07,11/2/07,2,OH8 2007-11-01
OH8,"Boehner, John A.","Istanbul, Turkey Ankara, Turk","The Rumi Forum, Inc.",8/15/08,8/23/08,9,OH8 2008-08-15
OH8,"Boehner, John A.","Onaway, MI","International Union, UAW Women's Department",6/10/08,6/12/08,3,OH8 2008-06-10
CA45,"Bono Mack, Mary",South Africa,International Conservations Caucus Foundation,12/1/07,12/10/07,10,CA45 2007-12-01
AR3,"Boozman, John","Baltimore, MD",Mercatus Center - George Mason University,2/22/08,2/23/08,2,AR3 2008-02-22
AR3,"Boozman, John","Gore, OK",Southwestern Power Association,11/13/07,11/15/07,3,AR3 2007-11-13
IA3,"Boswell, Leonard L.","Baltimore, MD",George Mason University; Mercatus Center,2/22/08,2/24/08,3,IA3 2008-02-22
IA3,"Boswell, Leonard L.","Queenstown, Maryland",Third Way,10/26/07,10/28/07,3,IA3 2007-10-26
VA9,"Boucher, Rick","Hot Springs, Virginia",American Coke and Coal Chemicals Institute,9/30/07,10/1/07,2,VA9 2007-09-30
VA9,"Boucher, Rick",Oslo-Svabard,International Management and Development Institute,5/23/08,5/31/08,9,VA9 2008-05-23
VA9,"Boucher, Rick",LA,Milken Institute,4/25/08,4/29/08,5,VA9 2008-04-25
LA7,"Boustany, Charles W.","Baltimore, MD",Catholic Health Association,2/22/08,2/22/08,1,LA7 2008-02-22
LA7,"Boustany, Charles W.","Cincinnati, OH","The Congressional Institute, Democratic Leadership Institute",4/28/08,4/28/08,1,LA7 2008-04-28
LA7,"Boustany, Charles W.","Rome, Italy",The Aspen Institute Congressional Program,5/26/08,6/1/08,7,LA7 2008-05-26
LA7,"Boustany, Charles W.","New York City, New York",Humpty Dumpty Institute,10/8/07,10/9/07,2,LA7 2007-10-08
LA7,"Boustany, Charles W.",Jerusalem,American Israel Education Foundation (AIEF),12/6/08,12/14/08,9,LA7 2008-12-06
FL2,"Boyd, Allen","Nairobi, Kenya Zanzibar, Tanz",INternational Conservation Caucus Foundation,6/27/08,7/7/08,11,FL2 2008-06-27
FL2,"Boyd, Allen","Baltimore, MD",Mercatus Center at George Mason University,2/22/08,2/23/08,2,FL2 2008-02-22
FL2,"Boyd, Allen","Tel Aviv, Israel",American Israel Education Fund,1/5/08,1/13/08,9,FL2 2008-01-05
TX8,"Brady, Kevin","Baltimore, MD",Heritage Foundation,1/30/08,1/31/08,2,TX8 2008-01-30
TX8,"Brady, Kevin","Panama City, Panama",Smithsonian Institiution,1/7/08,1/11/08,5,TX8 2008-01-07
TX8,"Brady, Kevin",shore facility in the Gulf of,Andarko Petroleum Corporation,10/14/08,10/14/08,1,TX8 2008-10-14
TX8,"Brady, Robert","Portland, OR-Seattle, WA",The Information Technology and Innovation Foundation,6/30/08,7/2/08,3,TX8 2008-06-30
IA1,"Braley, Bruce L.","Las Vegas, NV",American Postal Workers Union,8/16/08,8/20/08,5,IA1 2008-08-16
GA10,"Broun, Paul C.","Baltimore, MD",Heritage Foundation,1/30/08,2/1/08,3,GA10 2008-01-30
GA10,"Broun, Paul C.","Baltimore, MD",Mercatus Center of George Mason University,2/23/08,2/24/08,2,GA10 2008-02-23
GA10,"Broun, Paul C.","Annapolis, MD",Heritage Foundation,4/18/08,4/19/08,2,GA10 2008-04-18
GA10,"Broun, Paul C.","Cambridge, Maryland",Congressional Institute,11/1/07,11/3/07,3,GA10 2007-11-01
FL5,"Brown-Waite, Ginny","Cambridge, Maryland",Congressional Institute,11/1/07,11/3/07,3,FL5 2007-11-01
FL5,"Brown-Waite, Ginny","Sarasota, FL",National Federation for Women Legislators,11/21/08,11/22/08,2,FL5 2008-11-21
FL3,"Brown, Corrine","Dallas, Texas",Congressional Black Caucus Political Education and Leadership Institute (Member Paid For Trip),10/12/07,10/13/07,2,FL3 2007-10-12
FL3,"Brown, Corrine","Ft. Meyers, Florida",The American Shipbuilding Association,11/26/07,11/30/07,5,FL3 2007-11-26
FL3,"Brown, Corrine","Memphis, TN",Congressional Black Caucus Political Education and Leadership Institute,8/17/08,8/17/08,1,FL3 2008-08-17
FL3,"Brown, Corrine","New York, NY",Trade Press Publishing Corporation,9/20/08,10/1/08,12,FL3 2008-09-20
FL3,"Brown, Corrine","New York, NY",Trade Press Publishing Corporation,9/30/08,10/1/08,2,FL3 2008-09-30
FL3,"Brown, Corrine","Orlando, FL",International Association of Machinists and Aerospace Workers,9/7/08,9/7/08,1,FL3 2008-09-07
SC1,"Brown, Henry E.",South Africa,International Conservation Caucus Foundation,12/1/07,12/10/07,10,SC1 2007-12-01
TX26,"Burgess, Michael","Baltimore, MD",The Heritage Foundation,1/30/08,1/31/08,2,TX26 2008-01-30
TX26,"Burgess, Michael","Seattle, WA",Center for Health Transformation,6/14/08,6/16/08,3,TX26 2008-06-14
TX26,"Burgess, Michael","Baltimore, MD",The Commonwealth Fund,1/10/08,1/12/08,3,TX26 2008-01-10
TX26,"Burgess, Michael","New York, NY",National Osteoporosis Foundation (NOF),5/16/08,5/18/08,3,TX26 2008-05-16
IN5,"Burton, Dan","Baltimore, MD",The Heritage Foundation,1/30/08,2/1/08,3,IN5 2008-01-30
IN5,"Burton, Dan","Berlin, Germany",German Marshall Fund,3/30/07,4/5/07,7,IN5 2007-03-30
IN5,"Burton, Dan",Ankara,US. Association of Former Members of Congress,5/25/07,6/1/07,8,IN5 2007-05-25
NC1,"Butterfield, G.","Hamilton, Bermuda",Progressive Labor Party (PLP),11/14/08,11/16/08,3,NC1 2008-11-14
NC1,"Butterfield, G.","Grand Junction, CO",American Exploration and Production Council,8/18/08,8/20/08,3,NC1 2008-08-18
NC1,"Butterfield, G.","Tunica, MS",Congressional Black Caucus Political Education and Leadership Institute,8/14/08,8/17/08,4,NC1 2008-08-14
IN4,"Buyer, Steve","Charleston, SC",The German Marshall Fund of the United States,2/22/08,2/25/08,4,IN4 2008-02-22
IN4,"Buyer, Steve","Atlanta, GA",Campaign for Public Health,3/24/08,3/25/08,2,IN4 2008-03-24
IN4,"Buyer, Steve","Perryman, MD",Rite Aid Corporation,12/3/08,12/3/08,1,IN4 2008-12-03
IN4,"Buyer, Steve","Berlin, Germany -",The German Marshall Fund of the United States and The Robert Bosch Shifting Foundation,7/5/07,7/9/07,5,IN4 2007-07-05
CA44,"Calvert, Ken","Los Angeles, California",California Space Education and Workforce Institute,11/2/07,11/12/07,11,CA44 2007-11-02
CA44,"Calvert, Ken","Cambridge, Maryland",The Congressional Institute,11/1/07,11/3/07,3,CA44 2007-11-01
MI4,"Camp, Dave","Cambridge, Maryland",The Congressional Institute,11/1/07,11/3/07,3,MI4 2007-11-01
CA48,"Campbell, John","Annapolis, MD",The Heritage Foundation,4/18/08,4/19/08,2,CA48 2008-04-18
CA48,"Campbell, John (Amendment)","Annapolis, MD",The Heritage Foundation,8/18/08,8/19/08,2,CA48 2008-08-18
VA7,"Cantor, Eric","Baltimore, MD",The Heritage Foundation,1/30/08,1/31/08,2,VA7 2008-01-30
VA7,"Cantor, Eric","White Sulphur Springs, WV",The Congressional Institute,1/24/08,1/26/08,3,VA7 2008-01-24
VA7,"Cantor, Eric","London, Oxford, London",The German Marshall Fund of the United States,5/22/08,5/25/08,4,VA7 2008-05-22
VA7,"Cantor, Eric","Atlanta, Georgia",One Jerusalem Charitable and Educational Fund,11/24/07,11/26/07,3,VA7 2007-11-24
VA7,"Cantor, Eric","Cambridge, Maryland",The Congressional Institute,11/1/07,11/3/07,3,VA7 2007-11-01
WV2,"Capito, Shelley Moore","Durham, North Carolina",Duke Conservations Program at Duke University,2/10/08,2/12/08,3,WV2 2008-02-10
WV2,"Capito, Shelley Moore","Cincinnati, Ohio","The Congressional Institute, The Democratic Leadership Council, and the Cincinnati Children's Hospit",4/28/08,4/28/08,1,WV2 2008-04-28
CA23,"Capps, Lois","Baltimore, Maryland",Catholic Health Association,2/21/08,2/22/08,2,CA23 2008-02-21
CA23,"Capps, Lois","Atlanta, Georgia",Campaign for Public Health,3/24/08,3/25/08,2,CA23 2008-03-24
CA23,"Capps, Lois","Monterey, California",Monterey Bay Aquarium Research Institute (MBARI),5/28/08,5/29/08,2,CA23 2008-05-28
CA23,"Capps, Lois","Monterey, California",Monterey Bay Aquarium Research Institute (MBARI),5/27/08,5/30/08,4,CA23 2008-05-27
MA8,"Capuano, Michael","Ankara, Turkey",Turkish Cultural Center,3/15/08,3/21/08,7,MA8 2008-03-15
MA8,"Capuano, Michael","Tokyo, Japan",Japan Center for International Exchange (JCIE),8/23/08,9/1/08,10,MA8 2008-08-23
CA18,"Cardoza, Dennis A.",Tel Aviv,American Israel Education Foundation (AIEF),12/8/08,12/14/08,7,CA18 2008-12-08
CA18,"Cardoza, Dennis A. (Amendment)",Tel Aviv,American Isreal Education Foundation (AIEF),12/6/08,12/14/08,9,CA18 2008-12-06
MO3,"Carnahan, Russ","Addis Ababa, Ethiopia",Population Action International,2/15/08,2/24/08,10,MO3 2008-02-15
MO3,"Carnahan, Russ","New York City, New York","Humpty Dumpty Institute, the United Nations Foundation",5/9/08,5/12/08,4,MO3 2008-05-09
MO3,"Carnahan, Russ","New York City, New York","The Humpty Dumpty Institute, the United Nations Foundation",5/8/08,5/12/08,5,MO3 2008-05-08
MO3,"Carnahan, Russ","Salt Lake City, Utah","The U.S. Association of Former Members of Congress, and the Congressional Study Group on Germany",5/15/08,5/18/08,4,MO3 2008-05-15
MO3,"Carnahan, Russ","Naples, Florida",The American Shipbuilding Association,11/26/07,11/28/07,3,MO3 2007-11-26
MO3,"Carnahan, Russ","Tel Aviv, Isreal",American Isreal Education Foundation (AIEP),12/6/08,12/14/08,9,MO3 2008-12-06
PA10,"Carney, Christopher P.",Tel Aviv,American Israel Education Foundation (AEIF),12/6/08,12/14/08,9,PA10 2008-12-06
PA10,"Carney, Christopher P. (Amendment)","Tel Aviv, Israel",American Israel Education Foundation,12/8/08,12/14/08,7,PA10 2008-12-08
TX31,"Carter, John","Chesapeake, Maryland",The Congressional Institute,11/1/07,11/3/07,3,TX31 2007-11-01
TX31,"Carter, John","White Sulphur Springs, West Vi",The Congressional Institute,1/24/08,1/26/08,3,TX31 2008-01-24
DE1,"Castle, Michael N.","Atlanta, Georgia",The Campaign for Public Health (CPH),3/24/08,3/25/08,2,DE1 2008-03-24
DE1,"Castle, Michael N.","New York City, New York",Amtrak,10/26/07,10/26/07,1,DE1 2007-10-26
