state.district,MemberName,Destination,Foreign,TravelSponsor,Departure_Date,Return_Date,travel.time,namedate
TX19,"Neugebauer, Randy","Dallas/Ft. Worth, Texas",0,Texas Association of Builders,9/28/07,9/29/07,2,TX19 2007-09-28
IL5,"Emanuel, Rahm",Los Angeles,0,Bill Maher Inc.,9/28/07,9/29/08,368,IL5 2007-09-28
CA13,"Stark, Fortney Pete","Baltimore, MD",0,George Washington University,9/30/07,10/1/07,2,CA13 2007-09-30
MI3,"Ehlers, Vernon J.","Baltimore, MD",0,George Washington University,9/30/07,10/1/07,2,MI3 2007-09-30
VA9,"Boucher, Rick","Hot Springs, Virginia",0,American Coke and Coal Chemicals Institute,9/30/07,10/1/07,2,VA9 2007-09-30
OK5,"Fallin, Mary","Cambridge, MD",0,Congressional Institute,10/1/07,10/3/07,3,OK5 2007-10-01
FL7,"Mica, John L.","Newport, RI",0,National Association of Flood and Stormwater Management Agencies,10/2/07,10/3/07,2,FL7 2007-10-02
CT1,"Larson, John","Scottsdale, AZ",0,National Association of Long Term Hospitals,10/4/07,10/6/07,3,CT1 2007-10-04
MI14,"Conyers, John","Cincinnati, OH",0,Cincinnati Branch of the NAACP,10/5/07,10/6/07,2,MI14 2007-10-05
GA5,"Lewis, John","New York, NY",0,American Youth Policy Forum,10/5/07,10/8/07,4,GA5 2007-10-05
NY11,"Clarke, Yvette","Havana, Cuba",1,Center for Democracy in the Americas,10/5/07,10/9/07,5,NY11 2007-10-05
LA4,"McCrery, Jim","Berlin, Germany",1,Th US Association of Former Members of Congress,10/5/07,10/10/07,6,LA4 2007-10-05
MA10,"Delahunt, William D.","Berlin, Germany",1,Congressional Study Group on Germany,10/5/07,10/10/07,6,MA10 2007-10-05
OK3,"Lucas, Frank","Berlin, Germany",1,U.S. Association of Former Members of Congress,10/5/07,10/10/07,6,OK3 2007-10-05
TX6,"Barton, Joe","Berlin, Germany",1,U.S. Association of Former Members of Congress,10/5/07,10/10/07,6,TX6 2007-10-05
MA4,"Frank, Barney","Tampa, FL",0,"Flordia Red & Blue, Inc.",10/6/07,10/7/07,2,MA4 2007-10-06
FL12,"Putnam, Adam H.","Berlin, Germany",1,Congressional Study Group on Germany,10/6/07,10/10/07,5,FL12 2007-10-06
MI14,"Conyers, John","Port Au Prince, Haiti",1,The Institute of the World 21st Century's Haiti Support Project (HSP),10/7/07,10/8/07,2,MI14 2007-10-07
CA9,"Lee, Barbara","New York City, New York",0,Humpty Dumpty Institute,10/7/07,10/9/07,3,CA9 2007-10-07
FL7,"Mica, John L.","Charlotte, NC",0,American Public Transportation Association,10/8/07,10/9/07,2,FL7 2007-10-08
MD3,"Sarbanes, John",New York City,0,Humpty Dumpty Institute,10/8/07,10/9/07,2,MD3 2007-10-08
IL10,"Kirk, Mark Steven","New York City, New York",0,Humpty Dumpty Institute,10/8/07,10/9/07,2,IL10 2007-10-08
LA7,"Boustany, Charles W.","New York City, New York",0,Humpty Dumpty Institute,10/8/07,10/9/07,2,LA7 2007-10-08
SC6,"Clyburn, James","New York City, New York",0,National Black Leadership Commission on AIDS.,10/8/07,10/9/07,2,SC6 2007-10-08
CA15,"Honda, Michael M.","New York City, NY",0,Humpty Dumpty Institute,10/8/07,10/9/07,2,CA15 2007-10-08
FL20,"Wasserman Schultz, Debbie","new York, NY",0,Humpty Dumpty Institute,10/8/07,10/9/07,2,FL20 2007-10-08
MN4,"McCollum, Betty","New York, NY",0,Humpty Dumpty Institute,10/8/07,10/9/07,2,MN4 2007-10-08
MN8,"Oberstar, James L.","New York, NY",0,Humpty Dumpty Institute,10/8/07,10/9/07,2,MN8 2007-10-08
WA1,"Inslee, Jay","New York, NY",0,Humpty Dumpty Institute,10/8/07,10/9/07,2,WA1 2007-10-08
NJ9,"Rothman, Steven R.",NYC,0,Humpty Dumpty Institute,10/8/07,10/9/07,2,NJ9 2007-10-08
SC6,"Clyburn, James","Atlanta, GA",0,Gammon Theological Seminary,10/9/07,10/10/07,2,SC6 2007-10-09
PA5,"Peterson, John E.","New York, NY",0,American Gas Association,10/10/07,10/11/07,2,PA5 2007-10-10
NY6,"Meeks, Gregory",North Carolina,0,Muslim American Society Freedom Foundation,10/10/07,10/11/07,2,NY6 2007-10-10
KS4,"Tiahrt, Todd",Springfield,0,Evangel university,10/11/07,10/14/07,4,KS4 2007-10-11
WA1,"Inslee, Jay","Albany, NY",0,"Liza's Legacy Foundation, Inc",10/12/07,10/12/07,1,WA1 2007-10-12
FL3,"Brown, Corrine","Dallas, Texas",0,Congressional Black Caucus Institute,10/12/07,10/13/07,2,FL3 2007-10-12
MS2,"Thompson, Bennie","Dallas, TX",0,Congressional Black Caucus Institute,10/12/07,10/13/07,2,MS2 2007-10-12
MI14,"Conyers, John","Las Vegas, NV",0,Coalition of Labor Union Women,10/12/07,10/13/07,2,MI14 2007-10-12
SC6,"Clyburn, James","Dallas, Texas",0,Congressional Black Caucus Institute,10/12/07,10/14/07,3,SC6 2007-10-12
CA9,"Lee, Barbara","Dallas, TX",0,Congressional Black Caucus Institute,10/12/07,10/14/07,3,CA9 2007-10-12
MI13,"Kilpatrick, Carolyn C.","Dallas, TX",0,Congressional Black Caucus Institute,10/12/07,10/14/07,3,MI13 2007-10-12
NC12,"Watt, Melvin L.","Dallas, TX",0,Congressional Black Caucus Institute,10/12/07,10/14/07,3,NC12 2007-10-12
TX30,"Johnson, Eddie","Dallas, TX",0,Congressional Black Caucus Institute,10/12/07,10/14/07,3,TX30 2007-10-12
GA5,"Lewis, John","Grand Rapids, MI",0,Gerald R. Ford Foundation,10/13/07,10/14/07,2,GA5 2007-10-13
MI14,"Conyers, John","Pelston, MI",0,UAW International,10/14/07,10/15/07,2,MI14 2007-10-14
UT2,"Matheson, Jim","Scottsdale, AZ",0,National Federation of Independent Business,10/14/07,10/15/07,2,UT2 2007-10-14
SC6,"Clyburn, James","Boston, MA",0,NAACP,10/16/07,10/17/07,2,SC6 2007-10-16
FL15,"Weldon, Dave","Cold Spring Harbor, NY",0,Robert Wood Johnson Foundation,10/17/07,10/19/07,3,FL15 2007-10-17
CA30,"Waxman, Henry A.","New York, NY",0,Robert Wood Johnson Foundation,10/17/07,10/19/07,3,CA30 2007-10-17
NY15,"Rangel, Charles B.","Salt Lake City, UT",0,Brigham Young University,10/17/07,10/21/07,5,NY15 2007-10-17
MS2,"Thompson, Bennie","Omaha, NE",0,Omaha Association of Black Firefighters,10/17/07,10/28/07,12,MS2 2007-10-17
IL9,"Schakowsky, Janice",Minneapolis,0,Minnesota Nurses Association,10/19/07,10/20/07,2,IL9 2007-10-19
NC3,"Jones, Walter","Atlanta, GA",0,Ferderal Home Loan Bank of Atlanta,10/19/07,10/22/07,4,NC3 2007-10-19
MI14,"Conyers, John","Evanston, IL",0,Evanston North Shore Branch of the NAACP,10/20/07,10/21/07,2,MI14 2007-10-20
CA42,"Miller, Gary G.","Atlanta, GA",0,FHLBank of Atlanta,10/20/07,10/22/07,3,CA42 2007-10-20
AL6,"Bachus, Spencer","Atlanta, GA",0,FHLBank of Atlanta,10/21/07,10/22/07,2,AL6 2007-10-21
CA40,"Royce, Edward","Atlanta, GA",0,FHLBank of Atlanta,10/21/07,10/22/07,2,CA40 2007-10-21
FL12,"Putnam, Adam H.","Atlanta, GA",0,Federal Home Loan Bank of Atlanta,10/21/07,10/22/07,2,FL12 2007-10-21
KY4,"Davis, Geoff","Atlanta, GA",0,Federal Home Loan Bank of Atlanta,10/21/07,10/22/07,2,KY4 2007-10-21
NC3,"Jones, Walter","Atlanta, GA",0,Federal Home Loan Bank of Atlanta,10/21/07,10/22/07,2,NC3 2007-10-21
SC3,"Barrett, J. Gresham","Atlanta, GA",0,FHLBank of Atlanta,10/21/07,10/22/07,2,SC3 2007-10-21
NY15,"Rangel, Charles B.","Chicago, IL",0,Casey Family Programs,10/21/07,10/22/07,2,NY15 2007-10-21
GA5,"Lewis, John",Kansas city,0,Robert J. Dole Institute of Politics,10/21/07,10/22/07,2,GA5 2007-10-21
AZ7,"Grijalva, Raul","Minneapolis, MN",0,Global Exchange,10/21/07,10/24/07,4,AZ7 2007-10-21
OH9,"Kaptur, Marcy","Minneapolis, MN",0,Global Exchange,10/21/07,10/24/07,4,OH9 2007-10-21
MN5,"Ellison, Keith","Omaha, NE",0,Girls Inc. of Omaha and John Morgan,10/22/07,10/22/07,1,MN5 2007-10-22
TX2,"Poe, Ted","Virgina Beach, VA",0,Virgina Gang Investigators Association,10/22/07,10/23/07,2,TX2 2007-10-22
MA4,"Frank, Barney","Nashville, TN",0,Society for Insurance Research (SIR),10/23/07,10/24/07,2,MA4 2007-10-23
MI14,"Conyers, John","New York City, New York",0,Brennan Center for Justice New York University School of Law,10/25/07,10/26/07,2,MI14 2007-10-25
NY3,"King, Steve","Dallas, Texas",0,WalBuilders Presentations,10/25/07,10/28/07,4,NY3 2007-10-25
KS1,"Moran, Jerry","Nashville, Tennessee",0,Institute for Research on the Economics of Taxation,10/25/07,10/28/07,4,KS1 2007-10-25
NC6,"Coble, Howard","Nashville, Tennessee",0,Institute for Research on the Economics of Taxation,10/25/07,10/28/07,4,NC6 2007-10-25
NJ10,"Payne, Donald M.","Nashville, TN",0,Institute of Research on the Ecconomics of Taxation,10/25/07,10/28/07,4,NJ10 2007-10-25
VA8,"Moran, James P.","New Orleans, Louisiana",0,Institute for Research on the Economics of Taxation,10/25/07,10/28/07,4,VA8 2007-10-25
DE1,"Castle, Michael N.","New York City, New York",0,Amtrak,10/26/07,10/26/07,1,DE1 2007-10-26
NY8,"Nadler, Jerrold","New York City, New York",0,Amtrak,10/26/07,10/26/07,1,NY8 2007-10-26
MN8,"Oberstar, James L.","New York, NY",0,Amtrak,10/26/07,10/26/07,1,MN8 2007-10-26
NY16,"Serrano, Jose","New York, NY",0,Amtrak,10/26/07,10/26/07,1,NY16 2007-10-26
IL8,"Bean, Melissa L.","Queenstown, MD",0,Third Way,10/26/07,10/26/07,1,IL8 2007-10-26
GA5,"Lewis, John",Los Angelas,0,Matthew Shepard Foundation,10/26/07,10/27/07,2,GA5 2007-10-26
AZ8,"Giffords, Gabrielle","Queenstown, MD",0,Third Way,10/26/07,10/27/07,2,AZ8 2007-10-26
CO4,"Myrick, Sue Wilkins","Raleigh, North Carolina",0,The John William Pope Cintas Institute,10/26/07,10/27/07,2,CO4 2007-10-26
MI14,"Conyers, John","Cooperstown, NY",0,Capital Region and Central New York Bankruptcy Bar Associations,10/26/07,10/28/07,3,MI14 2007-10-26
IA3,"Boswell, Leonard L.","Queenstown, Maryland",0,Third Way,10/26/07,10/28/07,3,IA3 2007-10-26
IN2,"Donnelly, Joe","Queenstown, Maryland",0,Third Way,10/26/07,10/28/07,3,IN2 2007-10-26
CA36,"Harman, Jane","Queenstown, MD",0,Third Way,10/26/07,10/28/07,3,CA36 2007-10-26
NV1,"Berkley, Shelley","Queenstown, MD",0,Third Way,10/26/07,10/28/07,3,NV1 2007-10-26
PA4,"Altmire, Jason","Queenstown, MD",0,Third Way,10/26/07,10/28/07,3,PA4 2007-10-26
WA3,"Baird, Brian","Queenstown, MD",0,Third Way,10/26/07,10/28/07,3,WA3 2007-10-26
WI4,"Moore, Gwen","Queenstown, MD",0,Third Way,10/26/07,10/28/07,3,WI4 2007-10-26
WI8,"Kagen, Steve","Queenstown, MD",0,Third Way,10/26/07,10/28/07,3,WI8 2007-10-26
UT2,"Matheson, Jim",Wye River,0,Third Way,10/26/07,10/28/07,3,UT2 2007-10-26
FL22,"Klein, Ron",Wye River Conference Center,0,Third Way,10/26/07,10/28/07,3,FL22 2007-10-26
MD5,"Hoyer, Steny","Queenstown, MD",0,Third Way,10/26/07,10/30/07,5,MD5 2007-10-26
OH18,"Space, Zachary T.","New York, New York",0,Greek Orthodox Archdiocese,10/27/07,10/28/07,2,OH18 2007-10-27
NY18,"Lowey, Nita","Queenstown, MD",0,Third Way,10/27/07,10/28/07,2,NY18 2007-10-27
NY7,"Crowley, Joseph","Queenstown, MD",0,Third Way,10/27/07,10/28/07,2,NY7 2007-10-27
MI14,"Conyers, John","Cooperstown, NY",0,Capital Region and Central NY Bankruptcy Bar Association,10/28/07,10/28/07,1,MI14 2007-10-28
MI14,"Conyers, John","New York, NY",0,The New School,10/29/07,10/29/07,1,MI14 2007-10-29
MI2,"Hoekstra, Peter","Charlotte, NC",0,NC/SC Terrorism Conference Inc.,10/29/07,10/30/07,2,MI2 2007-10-29
FL19,"Wexler, Robert","Tbilisi, Georgia",1,German Marshall Fund,10/31/07,11/4/07,5,FL19 2007-10-31
CA13,"Stark, Fortney Pete","Guatemala City, Guatemala",1,Unitarian Universalist Service Committee,10/31/07,11/6/07,7,CA13 2007-10-31
CA40,"Royce, Edward","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/2/07,2,CA40 2007-11-01
TX19,"Neugebauer, Randy","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/2/07,2,TX19 2007-11-01
VA2,"Drake, Thelma D.","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/2/07,2,VA2 2007-11-01
CA2,"Herger, Wally","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,CA2 2007-11-01
CA26,"Dreier, David","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,CA26 2007-11-01
FL12,"Putnam, Adam H.","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,FL12 2007-11-01
NE2,"Terry, Lee","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,NE2 2007-11-01
NJ3,"Saxton, Jim","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,NJ3 2007-11-01
OH2,"Schmidt, Jean","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,OH2 2007-11-01
OH8,"Boehner, John A.","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,OH8 2007-11-01
PA3,"English, Phil","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,PA3 2007-11-01
TX12,"Granger, Kay","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,TX12 2007-11-01
WA4,"Hastings, Doc","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,WA4 2007-11-01
WI6,"Petri, Thomas E.","Cambridge, MD",0,Congressional Institute,11/1/07,11/2/07,2,WI6 2007-11-01
GA5,"Lewis, John",Chicago,0,National Education Association,11/1/07,11/2/07,2,GA5 2007-11-01
CA3,"Lungren, Daniel E.","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,CA3 2007-11-01
CA44,"Calvert, Ken","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,CA44 2007-11-01
DE1,"Castle, Michael N.","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,DE1 2007-11-01
FL5,"Brown-Waite, Ginny","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,FL5 2007-11-01
GA10,"Broun, Paul C.","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,GA10 2007-11-01
MI4,"Camp, Dave","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,MI4 2007-11-01
MN2,"Kline, John","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,MN2 2007-11-01
NC6,"Coble, Howard","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,NC6 2007-11-01
TX11,"Conaway, K.","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,TX11 2007-11-01
VA7,"Cantor, Eric","Cambridge, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,VA7 2007-11-01
AL2,"Everett, Terry","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,AL2 2007-11-01
AZ1,"Renzi, Rick","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,AZ1 2007-11-01
CA19,"Radanovich, George P.","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,CA19 2007-11-01
CA21,"Nunes, Devin","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,CA21 2007-11-01
CA22,"McCarthy, Kevin","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,CA22 2007-11-01
CA25,"McKeon, Howard P. """"""""Buck""""""""","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,CA25 2007-11-01
CA49,"Issa, Darrell","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,CA49 2007-11-01
CT4,"Shays, Christopher","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,CT4 2007-11-01
FL24,"Feeney, Tom","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,FL24 2007-11-01
FL7,"Mica, John L.","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,FL7 2007-11-01
FL8,"Keller, Ric (Amendment)","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,FL8 2007-11-01
FL9,"Bilirakis, Gus","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,FL9 2007-11-01
IA4,"Latham, Tom","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,IA4 2007-11-01
IL11,"Weller, Jerry","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,IL11 2007-11-01
IL18,"LaHood, Ray","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,IL18 2007-11-01
IL6,"Roskam, Peter","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,IL6 2007-11-01
IN3,"Souder, Mark E.","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,IN3 2007-11-01
KS4,"Tiahrt, Todd","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,KS4 2007-11-01
KY2,"Lewis, Ron","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,KY2 2007-11-01
MI3,"Ehlers, Vernon J.","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,MI3 2007-11-01
MI8,"Rogers, Mike","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,MI8 2007-11-01
MN6,"Bachmann, Michele","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,MN6 2007-11-01
NC8,"Hayes, Robin","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,NC8 2007-11-01
NE1,"Fortenberry, Jeff","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,NE1 2007-11-01
NE3,"Smith, Adrian","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,NE3 2007-11-01
NV2,"Heller, Dean","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,NV2 2007-11-01
NY3,"King, Steve","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,NY3 2007-11-01
OH15,"Pryce, Deborah","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,OH15 2007-11-01
PA16,"Pitts, Joseph R.","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,PA16 2007-11-01
TN1,"Davis, David","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,TN1 2007-11-01
TX32,"Sessions, Pete","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,TX32 2007-11-01
TX4,"Hall, Ralph M.","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,TX4 2007-11-01
TX6,"Barton, Joe","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,TX6 2007-11-01
WA5,"McMorris Rodgers, Cathy","Cambridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,WA5 2007-11-01
FL15,"Weldon, Dave","Cambridge, VA",0,Congressional Institute,11/1/07,11/3/07,3,FL15 2007-11-01
TX31,"Carter, John","Chesapeake, Maryland",0,Congressional Institute,11/1/07,11/3/07,3,TX31 2007-11-01
IL13,"Biggert, Judy","Chesapeake, MD",0,Congressional Institute,11/1/07,11/3/07,3,IL13 2007-11-01
TN3,"Wamp, Zach","Combridge, MD",0,Congressional Institute,11/1/07,11/3/07,3,TN3 2007-11-01
CA50,"Bilbray, Brian P.",Maryland,0,Congressional Institute,11/1/07,11/3/07,3,CA50 2007-11-01
CO4,"Musgrave, Marilyn N.","Washington, D.C.",0,Congressional Institute,11/1/07,11/3/07,3,CO4 2007-11-01
CA46,"Rohrabacher, Dana","Cambridge, MD",0,Congressional Institute,11/1/07,11/4/07,4,CA46 2007-11-01
MO2,"Akin, W. Todd","Cambridge, MD",0,Congressional Institute,11/1/07,11/4/07,4,MO2 2007-11-01
MO7,"Blunt, Roy","Cambridge, MD",0,Congressional Institute,11/1/07,11/4/07,4,MO7 2007-11-01
MS3,"Pickering, Charles W. """"""""Chip""""""""","Cambridge, MD",0,Congressional Institute,11/1/07,11/4/07,4,MS3 2007-11-01
OH1,"Chabot, Steve","Cambridge, MD",0,Congressional Institute,11/1/07,11/4/07,4,OH1 2007-11-01
KS1,"Moran, Jerry",Chesapeake Bay,0,Congressional Institute,11/1/07,11/4/07,4,KS1 2007-11-01
VA8,"Moran, James P.",Chesapeake Bay,0,Congressional Institute,11/1/07,11/4/07,4,VA8 2007-11-01
WA8,"Reichert, David","Salisbury, MD",0,Congressional Institute,11/1/07,11/4/07,4,WA8 2007-11-01
NC3,"Jones, Walter","Cambridge, MD",0,Congressional Institute,11/1/07,11/5/07,5,NC3 2007-11-01
CA28,"Berman, Howard L.","Jerusalem, Israel",1,The Saban Center at Brookings,11/1/07,11/6/07,6,CA28 2007-11-01
NY18,"Lowey, Nita","Jerusalem, Israel",1,The Saban Center of Brookings,11/1/07,11/6/07,6,NY18 2007-11-01
NY5,"Ackerman, Gary L.","Jerusalem, Israel",1,Saban Center for Middle East Policy at the Brookings Institution,11/1/07,11/6/07,6,NY5 2007-11-01
MO7,"Blunt, Roy","Cambridge, MD",0,Congressional Institute,11/2/07,11/3/07,2,MO7 2007-11-02
OR3,"Blumenauer, Earl","Miami, FL",0,Rail-Volution,11/2/07,11/3/07,2,OR3 2007-11-02
CA44,"Calvert, Ken","Los Angeles, California",0,California Space Education and Workforce Institute,11/2/07,11/12/07,11,CA44 2007-11-02
IN3,"Souder, Mark E.","Paris, France",1,Potomac Foundation,11/3/07,11/7/07,5,IN3 2007-11-03
NV1,"Berkley, Shelley","Paris, France",1,The Potomac Foundation,11/3/07,11/7/07,5,NV1 2007-11-03
TX6,"Barton, Joe","Paris, France",1,The Potomac Foundation,11/3/07,11/7/07,5,TX6 2007-11-03
CA49,"Issa, Darrell","Los Angeles, CA",0,California Space Education and Workforce Institute,11/5/07,11/9/07,5,CA49 2007-11-05
TX4,"Hall, Ralph M.","Los Angeles, CA",0,California Space Education and Workforce Institute,11/5/07,11/9/07,5,TX4 2007-11-05
CA36,"Harman, Jane","Amman, Jordan",1,Saban Center for Middle East Policy at the Brookings Institution,11/6/07,11/6/07,1,CA36 2007-11-06
TX2,"Poe, Ted","Albany, NY",0,Albany Co. District Atty's office,11/7/07,11/8/07,2,TX2 2007-11-07
CA3,"Lungren, Daniel E.","Chicago, IL",0,Notre Dame Alumni Association,11/8/07,11/11/07,4,CA3 2007-11-08
OH11,"Jones, Stephanie Tubbs","Antigua, West Indies",1,Carib News Foundation,11/8/07,11/12/07,5,OH11 2007-11-08
WA7,"McDermott, Jim","Havana, Cuba",1,Center for Democracy in the Americas,11/8/07,11/13/07,6,WA7 2007-11-08
WA1,"Inslee, Jay","New York, NY",0,Snap!VRS,11/9/07,11/10/07,2,WA1 2007-11-09
CA6,"Woolsey, Lynn C.","Tacoma, Washington",0,America In Solidarity,11/9/07,11/10/07,2,CA6 2007-11-09
WA7,"McDermott, Jim","Havana, Cuba",1,Center for Democracy in the Americas,11/9/07,11/13/07,5,WA7 2007-11-09
NY15,"Rangel, Charles B.",Antigua,1,The New York Carib News Fouindation,11/10/07,11/10/07,1,NY15 2007-11-10
MS2,"Thompson, Bennie",Antigua,1,Carib News Foundation,11/10/07,11/12/07,3,MS2 2007-11-10
NY11,"Clarke, Yvette","Antigua, West Indies",1,Carib News Foundation,11/10/07,11/12/07,3,NY11 2007-11-10
CA37,"Richardson, Laura","Las Vegas, NV",0,National Association of Realtors,11/11/07,11/13/07,3,CA37 2007-11-11
