state.district,MemberName,Destination,TravelSponsor,Departure_Date,Return_Date,travel.time,namedate
AZ1,"Kirkpatrick, Ann","Jerusalem, Israel",American Israel Education Foundation,2/13/10,2/21/10,9,AZ1 2010-02-13
AZ2,"Franks, Trent","Las Vegas, NV",Consumer Electronics Association,1/9/09,1/11/09,3,AZ2 2009-01-09
AZ2,"Franks, Trent","Baltimore, MD",The Heritage Foundation,2/5/09,2/7/09,3,AZ2 2009-02-05
AZ2,"Franks, Trent","Philadelphia, PA",Mercatus Center,2/20/09,2/22/09,3,AZ2 2009-02-20
AZ2,"Franks, Trent",NYC,Humpty Dumpty Institute,10/29/09,10/30/09,2,AZ2 2009-10-29
AZ2,"Franks, Trent","Las Vegas, NV",Consumer Electronics Association,1/7/10,1/9/10,3,AZ2 2010-01-07
AZ2,"Franks, Trent","Charlottesville, VA",The Heritage Foundation,1/14/10,1/16/10,3,AZ2 2010-01-14
AZ2,"Franks, Trent","Cambridge, MD",Congressional Institute,5/6/10,5/8/10,3,AZ2 2010-05-06
AZ2,"Franks, Trent","Algiers, Algeria",Defense Forum Foundation,7/5/10,7/12/10,8,AZ2 2010-07-05
AZ2,"Franks, Trent","Ankara, Turkey",Turkish Coalition of America,8/14/10,8/22/10,9,AZ2 2010-08-14
AZ3,"Shadegg, John B.","Baltimore, MD",The Heritage Foundation,2/5/09,2/6/09,2,AZ3 2009-02-05
AZ3,"Shadegg, John B.","Colorado Springs, CO",Leadership Program of the Rockies,3/6/09,3/6/09,1,AZ3 2009-03-06
AZ3,"Shadegg, John B.",Ankara-,"The US Assoc of Former of Congress Congressional Study Group on Turkey, with contributions from The",8/29/09,9/3/09,6,AZ3 2009-08-29
AZ3,"Shadegg, John B.","Newport Beach, CA",Guarantee Trust Life Insurance Company,9/11/09,9/13/09,3,AZ3 2009-09-11
AZ3,"Shadegg, John B.","Charlottesville, VA",The Heritage Foundation,1/15/10,1/16/10,2,AZ3 2010-01-15
AZ3,"Shadegg, John B.","Palm Beach, FL",Club for Growth,3/4/10,3/6/10,3,AZ3 2010-03-04
AZ3,"Shadegg, John B.","Lynchburg, VA",The Heritage Foundation and Third Way Institute,6/3/10,6/3/10,1,AZ3 2010-06-03
AZ3,"Shadegg, John B.","San Diego, CA",American Legislative Exchange Council,8/5/10,8/6/10,2,AZ3 2010-08-05
AZ3,"Shadegg, John B.","Binghampton, NY",American Exploration and Production Council,8/16/10,8/18/10,3,AZ3 2010-08-16
AZ3,"Shadegg, John B.","Bedford Springs, PA",Business Government Relations Council,10/8/10,10/9/10,2,AZ3 2010-10-08
AZ4,"Pastor, Ed",Calgary,The Aspen Institute Congressional Program,8/17/09,8/22/09,6,AZ4 2009-08-17
AZ4,"Pastor, Ed","Vancouver, Canada",The Aspen Institute Congressional Program,8/16/10,8/21/10,6,AZ4 2010-08-16
AZ5,"Mitchell, Harry E.","Tel Aviv, Israel",American Israel Education Foundation (AIEF),8/8/09,8/16/09,9,AZ5 2009-08-08
AZ5,"Mitchell, Harry E.","Ankara, Turkey",Turkish Coalition of America,8/14/10,8/22/10,9,AZ5 2010-08-14
AZ6,"Flake, Jeff","Valencia, Spain",The Aspen Institute Congressional Program,4/4/09,4/10/09,7,AZ6 2009-04-04
AZ6,"Flake, Jeff","Palm Beach, FL",Club for Growth,3/4/10,3/5/10,2,AZ6 2010-03-04
AZ6,"Flake, Jeff","Paris, France",The Aspen Institute Congressional Progam,5/31/10,6/8/10,9,AZ6 2010-05-31
AZ6,"Flake, Jeff","Ft. Lauderdale, FL",The Lexington Institute,11/10/10,11/14/10,5,AZ6 2010-11-10
AZ7,"Grijalva, Raul","McAllen, TX",American Youth Policy Forum (AYPF),5/6/09,5/8/09,3,AZ7 2009-05-06
AZ7,"Grijalva, Raul",San Francisco,Sierra Club,9/26/09,9/27/09,2,AZ7 2009-09-26
AZ7,"Grijalva, Raul","Ft. Lauderdale, FL",Alliance for Health Reform,1/15/10,1/17/10,3,AZ7 2010-01-15
AZ7,"Grijalva, Raul","San Salvador, El Salvador",The Center for Democracy in the Americas,5/29/10,6/2/10,5,AZ7 2010-05-29
AZ8,"Giffords, Gabrielle","LAX, Clarmont, LAX",Scripps College,5/17/09,5/17/09,1,AZ8 2009-05-17
AZ8,"Giffords, Gabrielle","Boston, MA",Massachusetts Institute of Technology and the Ewing Marion Kauffman Foundation,5/27/09,5/29/09,3,AZ8 2009-05-27
AZ8,"Giffords, Gabrielle","Nashville, TN",National Guard Association of Arizona,9/11/09,9/13/09,3,AZ8 2009-09-11
AZ8,"Giffords, Gabrielle","Charleston, SC",Renaisance Weekend,12/28/09,1/1/10,5,AZ8 2009-12-28
AZ8,"Giffords, Gabrielle","Binghampton, NY",American Exploration and Production Council (AXPC),8/16/10,8/18/10,3,AZ8 2010-08-16
AZ8,"Giffords, Gabrielle","Williamsburg, VA",American Council for Technology / Industry Advisory Council,10/24/10,10/25/10,2,AZ8 2010-10-24
AZ8,"Giffords, Gabrielle","Charleston, SC",Renaisance Weekend,12/28/10,1/1/11,5,AZ8 2010-12-28
CA12,"Speier, Jackie","St. Louis, MO",American Association of University Women (AAUW) Leadership and Training Institute,6/27/09,6/28/09,2,CA12 2009-06-27
CA12,"Speier, Jackie","New York, NY",Fordham University School of Law,3/11/10,3/13/10,3,CA12 2010-03-11
CA12,"Speier, Jackie","Long Beach, CA",Information Systems Security Association - Orange County,10/20/10,10/21/10,2,CA12 2010-10-20
CA13,"Stark, Fortney Pete","Calgary, Canada",The Aspen Institute Congressional Program.,8/18/09,8/22/09,5,CA13 2009-08-18
CA13,"Stark, Fortney Pete","Vancouver, Canada",The Aspen Institute Congressional Program,8/16/10,8/21/10,6,CA13 2010-08-16
CA14,"Eshoo, Anna","New York, NY",Armenian Relief Society,3/28/09,3/29/09,2,CA14 2009-03-28
CA14,"Eshoo, Anna","La Selva, Costa Rica","Organization for Tropical Studies, the gordon and Betty Moore foundation, and the David and Lucile P",10/10/09,10/13/09,4,CA14 2009-10-10
CA14,"Eshoo, Anna","Tel Aviv, Israel",The American Israel Education Foundation (AIEF),12/11/10,12/19/10,9,CA14 2010-12-11
CA15,"Honda, Michael M.","McAllen, TX",American Youth Policy Forum (AYPF),5/6/09,5/10/09,5,CA15 2009-05-06
CA15,"Honda, Michael M.","Montreal, Canada",Center for Research Action on Race Relations,5/15/09,5/17/09,3,CA15 2009-05-15
CA15,"Honda, Michael M.","Boston, MA",Massachusetts Institute of Technology and the Ewing Marion Kauffman Foundation,5/27/09,5/29/09,3,CA15 2009-05-27
CA15,"Honda, Michael M.","Seoul, Korea","Kangwon National University, Republic of Korea",8/9/09,8/15/09,7,CA15 2009-08-09
CA15,"Honda, Michael M.","Calgary, Canada",The Aspen Institute Congressional Program,8/17/09,8/22/09,6,CA15 2009-08-17
CA15,"Honda, Michael M.","Boston, MA",American Youth Policy Forum,10/12/09,10/14/09,3,CA15 2009-10-12
CA15,"Honda, Michael M.","Atlanta, GA","Congressional Black Caucus Foundation, Inc.",12/4/09,12/6/09,3,CA15 2009-12-04
CA15,"Honda, Michael M.",Tel Aviv,American Israel Education Foundation,12/5/09,12/13/09,9,CA15 2009-12-05
CA15,"Honda, Michael M.","Caracas, Venezuela",The Center for Democracy in the Americas,2/17/10,2/20/10,4,CA15 2010-02-17
CA15,"Honda, Michael M.","New York, NY",The Humpty Dumpty Institute,2/18/10,2/20/10,3,CA15 2010-02-18
CA15,"Honda, Michael M.","Austin, TX",Student Peace Alliance,2/26/10,2/28/10,3,CA15 2010-02-26
CA15,"Honda, Michael M.","Miami, FL",The Humpty Dumpty Institute,4/15/10,4/17/10,3,CA15 2010-04-15
CA15,"Honda, Michael M.","San Salvador, El Salvador",The Center for Democracy in the Americas,5/29/10,6/2/10,5,CA15 2010-05-29
CA15,"Honda, Michael M.","Los Angeles, CA",University of Southern California,9/8/10,9/11/10,4,CA15 2010-09-08
CA15,"Honda, Michael M.","Cleveland, OH","Inamori International Center for Ethics and Excellence Case Western Reserve University (Cleveland, O",10/27/10,10/31/10,5,CA15 2010-10-27
CA15,"Honda, Michael M.","Philladelphia, PA",The Third Way,11/12/10,11/12/10,1,CA15 2010-11-12
CA15,"Honda, Michael M.","New York, NY",The Humpty Dumpty Institute and the United Nations Foundation,12/9/10,12/10/10,2,CA15 2010-12-09
CA16,"Lofgren, Zoe","Nairobi, Kenya",Care USA,4/4/09,4/8/09,5,CA16 2009-04-04
CA16,"Lofgren, Zoe","Calgary, Canada",Aspen Institute,8/17/09,8/22/09,6,CA16 2009-08-17
CA16,"Lofgren, Zoe","New York, NY",Humpty Dumpty Institute,10/29/09,10/30/09,2,CA16 2009-10-29
CA16,"Lofgren, Zoe","Las Vegas, NV",Consumer Electronics Association,1/7/10,1/9/10,3,CA16 2010-01-07
CA16,"Lofgren, Zoe",Frankfurt,Aspen Institute,2/15/10,2/21/10,7,CA16 2010-02-15
CA16,"Lofgren, Zoe","Lisbon, Portugal",The Aspen Institute Congressional Program,4/5/10,4/11/10,7,CA16 2010-04-05
CA16,"Lofgren, Zoe","Tunis, Tunisia",The Aspen Institute Congressional Program,5/31/10,6/7/10,8,CA16 2010-05-31
CA16,"Lofgren, Zoe","San Francisco, CA",Information Technology and Innovation Foundation,6/2/10,6/4/10,3,CA16 2010-06-02
CA16,"Lofgren, Zoe","Kingston, NY",The Colbert Report,8/19/10,8/20/10,2,CA16 2010-08-19
CA17,"Farr, Sam","Valencia, Spain",The Aspen Institute Congressional Program,4/4/09,4/10/09,7,CA17 2009-04-04
CA17,"Farr, Sam (Amendment)",Tel Aviv,American Israeli Education Fund,6/27/09,7/5/09,9,CA17 2009-06-27
CA17,"Farr, Sam",Tel Aviv,American Israeli Education Fund,6/28/09,7/5/09,8,CA17 2009-06-28
CA17,"Farr, Sam","New York City, NY",Washington Office on Latin America and National Tour Association,9/18/09,9/22/09,5,CA17 2009-09-18
CA17,"Farr, Sam (Amendment)","La Paz, Bolivia",The International Republican Institute through a grant from the National Endowment for Democracy (NE,11/7/09,11/13/09,7,CA17 2009-11-07
CA17,"Farr, Sam","Vancouver, Canada",The Aspen Institute Congressional Program,8/16/10,8/20/10,5,CA17 2010-08-16
CA19,"Radanovich, George P.","Las Vegas, NV",Consumer Electronics Show - Las Vegas,1/9/09,1/11/09,3,CA19 2009-01-09
CA19,"Radanovich, George P.","Cambridge, MD",Congressional Institute,3/12/09,3/14/09,3,CA19 2009-03-12
CA19,"Radanovich, George P.","Las Vegas, NV",Consumer Electronics Association,1/6/10,1/8/10,3,CA19 2010-01-06
CA19,"Radanovich, George P.","Cambridge, MD",Congressional Institute,5/6/10,5/8/10,3,CA19 2010-05-06
CA2,"Herger, Wally","Baltimore, MD",The Heritage Foundation,2/5/09,2/7/09,3,CA2 2009-02-05
CA2,"Herger, Wally","Philadelphia, PA",George Mason University,2/20/09,2/22/09,3,CA2 2009-02-20
CA2,"Herger, Wally","Cambridge, MD",Congressional Institute,3/12/09,3/14/09,3,CA2 2009-03-12
CA2,"Herger, Wally","Charlottesville, VA",The Heritage Foundation,1/14/10,1/16/10,3,CA2 2010-01-14
CA2,"Herger, Wally","Cambridge, MD",The Congressional Insitute,5/6/10,5/8/10,3,CA2 2010-05-06
CA2,"Herger, Wally","Tel Aviv, Israel",The American Israel Education Foundation,7/3/10,7/11/10,9,CA2 2010-07-03
CA20,"Costa, Jim",Jerusalem,American Israel Education Foundation,6/27/09,7/5/09,9,CA20 2009-06-27
CA20,"Costa, Jim","Monterey, CA",Association of California Water Agencies (ACWA),5/6/10,5/7/10,2,CA20 2010-05-06
CA20,"Costa, Jim","San Francisco, CA",The Federla Home Loan Bank of San Francisco,8/19/10,8/21/10,3,CA20 2010-08-19
CA21,"Nunes, Devin","Cambridge, MD",Congressional Institute,3/12/09,3/14/09,3,CA21 2009-03-12
CA21,"Nunes, Devin",Guatamala,Woodrow Wilson Center for International Center for Scholars,4/13/09,4/17/09,5,CA21 2009-04-13
CA21,"Nunes, Devin","New Orleans, LA",Institute for Research on the Economics of Taxation,4/16/09,4/19/09,4,CA21 2009-04-16
CA21,"Nunes, Devin","Tel Aviv, Israel",American Isreal Education Foundation (AIEF),7/5/10,7/12/10,8,CA21 2010-07-05
CA22,"McCarthy, Kevin","Hot Springs, VA",The Congressional Institute,1/29/09,1/31/09,3,CA22 2009-01-29
CA22,"McCarthy, Kevin","Cambridge, MD",The Congressional Institute,3/12/09,3/14/09,3,CA22 2009-03-12
CA22,"McCarthy, Kevin","Baltimore, MD",The Congressional Institute,1/28/10,1/30/10,3,CA22 2010-01-28
CA22,"McCarthy, Kevin","Cambridge, MD",The Congressional Institute,5/6/10,5/8/10,3,CA22 2010-05-06
CA23,"Capps, Lois","New York, NY",Woman's Day Magazine,2/11/09,2/12/09,2,CA23 2009-02-11
CA23,"Capps, Lois",Amman-,The Aspen Institute Congressional Program,2/14/09,2/20/09,7,CA23 2009-02-14
CA23,"Capps, Lois","Amman, Jordan",J Street Education Fund,2/12/10,2/19/10,8,CA23 2010-02-12
CA23,"Capps, Lois","New Haven, CT",Yale University School of Nursing,4/19/10,4/20/10,2,CA23 2010-04-19
CA23,"Capps, Lois","Atlanta, GA",The Campaign for Public Health Foundation,5/17/10,5/17/10,1,CA23 2010-05-17
CA23,"Capps, Lois","Denver, CO",APHA,11/6/10,11/7/10,2,CA23 2010-11-06
CA24,"Gallegly, Elton","Cambridge, MD",Congressional Institute,3/12/09,3/14/09,3,CA24 2009-03-12
CA24,"Gallegly, Elton","Cambridge, MD",The Congressional Institute,5/6/10,5/8/10,3,CA24 2010-05-06
CA24,"Gallegly, Elton","Tapei, Taiwan",Chinese Cultural University,11/4/10,11/11/11,373,CA24 2010-11-04
CA25,"McKeon, Howard P. ""Buck""","Hot Springs, VA",Congressional Institute,1/29/09,1/31/09,3,CA25 2009-01-29
CA25,"McKeon, Howard P. ""Buck""","Ft. Lauderdale, FL",National Small Business Association,2/12/09,2/16/09,5,CA25 2009-02-12
CA25,"McKeon, Howard P. ""Buck""","Cambridge, MD",The Congressional Institute,3/12/09,3/13/09,2,CA25 2009-03-12
CA25,"McKeon, Howard P. ""Buck""","Baltimore, MD",The Congressional Institute,1/28/10,1/30/10,3,CA25 2010-01-28
CA26,"Dreier, David","Hot Springs, VA",The Congressional Institute,1/29/09,1/31/09,3,CA26 2009-01-29
CA26,"Dreier, David","Cambridge, MD",The Congressional Institute,3/12/09,3/14/09,3,CA26 2009-03-12
CA26,"Dreier, David","Kyoto, Japan",Woodrow Wilson International Center for Scholars will sponsor the trip using funds from a grant from,8/29/09,9/5/09,8,CA26 2009-08-29
CA26,"Dreier, David","Baltimore, MD",The Congressional Institute,1/28/10,1/30/10,3,CA26 2010-01-28
CA26,"Dreier, David","Dnipropetrovsk, Ukraine",International Republican Institute,2/2/10,2/10/10,9,CA26 2010-02-02
CA26,"Dreier, David","Cambridge, MD",Congressional Institute,5/6/10,5/7/10,2,CA26 2010-05-06
CA28,"Berman, Howard L.","Havana, Cuba",Lexington Institute,1/11/09,1/14/09,4,CA28 2009-01-11
CA28,"Berman, Howard L.","Jacksonville, FL",The Howard Gilman Foundation,1/30/09,2/1/09,3,CA28 2009-01-30
CA28,"Berman, Howard L.","Aman, Jordan -",The Aspen Institute Congressional Program,2/14/09,2/22/09,9,CA28 2009-02-14
CA28,"Berman, Howard L.","San Salvador, El Salvador",Salvadorn American Leadership Educational Fund (SALEF),3/11/09,3/17/09,7,CA28 2009-03-11
CA28,"Berman, Howard L.","Brussels, Belgium",German Marshall Fund,3/19/09,3/23/09,5,CA28 2009-03-19
CA28,"Berman, Howard L.","St. Louis, MO","United Hebrew Congregation (St. Louis, MO)",4/24/09,4/26/09,3,CA28 2009-04-24
CA28,"Berman, Howard L.","New York, NY",Violence Policy Center,4/30/09,5/3/09,4,CA28 2009-04-30
CA28,"Berman, Howard L.","Jacksonville, FL",The Howard Gilman Foundaton,6/12/09,6/14/09,3,CA28 2009-06-12
CA28,"Berman, Howard L.","Queenstown, MD",Partnership for a Secure America,8/1/09,8/2/09,2,CA28 2009-08-01
CA28,"Berman, Howard L.",Ankara -,Turkish Coalition of America,8/22/09,8/30/09,9,CA28 2009-08-22
CA28,"Berman, Howard L.",NYC,The Humpty Dumpty Institute,9/10/09,9/11/09,2,CA28 2009-09-10
CA28,"Berman, Howard L.","Caracas, Venezuela",Center for Democracy in the Americas,9/18/09,9/21/09,4,CA28 2009-09-18
CA28,"Berman, Howard L.",New York,Humpty Dumpty Institute,10/29/09,10/30/09,2,CA28 2009-10-29
CA28,"Berman, Howard L.",Ankara,Council on International Educational Exchange,11/8/09,11/15/09,8,CA28 2009-11-08
CA28,"Berman, Howard L.",Tel Aviv,Saban Center for Middle East Policy at the Brookings Institution,11/13/09,11/16/09,4,CA28 2009-11-13
CA28,"Berman, Howard L.","Moscow, Russia",FIA Foundation,11/16/09,11/22/09,7,CA28 2009-11-16
CA28,"Berman, Howard L.",New York,Humpty Dumpty Institute,11/29/09,11/30/09,2,CA28 2009-11-29
CA28,"Berman, Howard L.","Charlotte, NC",The Tobin Project,12/4/09,12/6/09,3,CA28 2009-12-04
CA28,"Berman, Howard L. (Amendment)","Kiev, Ukraine",The German Marshall Fund of the United States,1/13/10,1/19/10,7,CA28 2010-01-13
CA28,"Berman, Howard L.","Madrid, Spain",The Aspen Institute Congressional Program,2/13/10,2/21/10,9,CA28 2010-02-13
CA28,"Berman, Howard L.","New York, NY",The Humpty Dumpty Institute,2/18/10,2/19/10,2,CA28 2010-02-18
CA28,"Berman, Howard L.","Atlanta, GA",Carter Center,2/23/10,2/24/10,2,CA28 2010-02-23
CA28,"Berman, Howard L.","Havana, Cuba",New America Foundation,4/7/10,4/11/10,5,CA28 2010-04-07
CA28,"Berman, Howard L.","Miami, FL",Humpty Dumpty Institute,4/15/10,4/16/10,2,CA28 2010-04-15
CA28,"Berman, Howard L.","St. Louis, MO",The United States Association of Former Members of Congress Congressional Study,5/13/10,5/17/10,5,CA28 2010-05-13
CA28,"Berman, Howard L.","Queenstown, MD",Partnership for a Secure America,5/22/10,5/23/10,2,CA28 2010-05-22
CA28,"Berman, Howard L.","Paris, France",The Aspen Institute Congressional Program,5/29/10,6/6/10,9,CA28 2010-05-29
CA28,"Berman, Howard L.","Ankara, Turkey",Turkish Coalition of America,7/3/10,7/11/10,9,CA28 2010-07-03
CA28,"Berman, Howard L.","Aspen, CO","The Brookings Institution, with financial support from the Blum Family Foundation",8/3/10,8/7/10,5,CA28 2010-08-03
CA28,"Berman, Howard L.","Aspen, CO","The Aspen Institute/Markle Foundation, The Stanton Foundation Margot & Thomas Pritzker Foundation, R",8/6/10,8/8/10,3,CA28 2010-08-06
CA28,"Berman, Howard L.","Ankara, Turkey",Turkish Coalition of America,8/14/10,8/22/10,9,CA28 2010-08-14
CA28,"Berman, Howard L.","Ft. Lauderdale, FL",American Israel Public Affairs Committee (AIPAC),10/23/10,10/24/10,2,CA28 2010-10-23
CA28,"Berman, Howard L.","Oberlin, OH",Oberlin College,11/4/10,11/5/10,2,CA28 2010-11-04
CA28,"Berman, Howard L.","Philadelphia, PA",Haverford College,11/10/10,11/11/10,2,CA28 2010-11-10
CA28,"Berman, Howard L.","New York, NY",The Humpty Dumpty Institute and the United Nations Foundation,12/9/10,12/10/10,2,CA28 2010-12-09
CA29,"Schiff, Adam","Boston, MA",MIT and Ewing Marion Kauffman Foundation,5/27/09,5/31/09,5,CA29 2009-05-27
CA3,"Lungren, Daniel E.","Philadelphia, PA",Mercatus Center at George Mason University,2/20/09,2/22/09,3,CA3 2009-02-20
CA3,"Lungren, Daniel E.","Cambridge, MD",Congressional Institute,3/12/09,3/14/09,3,CA3 2009-03-12
CA3,"Lungren, Daniel E.","Baltimore, MD",Congressional Institute,1/28/10,1/30/10,3,CA3 2010-01-28
CA3,"Lungren, Daniel E.","Cambridge, MD",Congressional Institute,5/6/10,5/8/10,3,CA3 2010-05-06
CA30,"Waxman, Henry A.","Raleigh-Durham, NC",Duke University School of Law Intellectual Property and Cyber Law Society (IPCS),2/5/09,2/6/09,2,CA30 2009-02-05
CA30,"Waxman, Henry A.","Amman, Jordan",The Aspen Institute Congressional Program,2/14/09,2/23/09,10,CA30 2009-02-14
CA30,"Waxman, Henry A.","Boston, MA",Harvard Law School,2/17/09,2/17/09,1,CA30 2009-02-17
CA30,"Waxman, Henry A.","Baltimore, MD",Catholic Health Association,2/19/09,2/20/09,2,CA30 2009-02-19
CA30,"Waxman, Henry A.","Philadelphia, PA",The Information Technology and Innovation Foundation,4/15/09,4/16/09,2,CA30 2009-04-15
CA30,"Waxman, Henry A.","Baltimore, MD","National Health Policy Forum, GWU",4/17/09,4/17/09,1,CA30 2009-04-17
CA30,"Waxman, Henry A.",Dubrovnik,The Aspen Institute Congressional Program,5/24/09,6/1/09,9,CA30 2009-05-24
CA30,"Waxman, Henry A.","Philadelphia, PA",Robert Wood Johnson Foundation,5/28/09,5/28/09,1,CA30 2009-05-28
CA30,"Waxman, Henry A.","Aspen, CO",Aspen Institute,7/8/09,7/12/09,5,CA30 2009-07-08
CA30,"Waxman, Henry A.","Tel-Aviv, Israel",American Israel Education Foundation,8/8/09,8/17/09,10,CA30 2009-08-08
CA30,"Waxman, Henry A.","San Jose, Costa Rica Airport","Organization for Tropical Studies, The Gordon and Betty Moore Foundation, and The David and Lucille",8/30/09,9/2/09,4,CA30 2009-08-30
CA30,"Waxman, Henry A.",New York City,"Columbia University Center for Energy, Marine Transportation and Public Policy",10/5/09,10/6/09,2,CA30 2009-10-05
CA30,"Waxman, Henry A.","Durham, NC","Sanford School of Public Policy, Duke University",10/12/09,10/13/09,2,CA30 2009-10-12
CA30,"Waxman, Henry A.",Tel Aviv,Saban Forum,11/9/09,11/16/09,8,CA30 2009-11-09
CA30,"Waxman, Henry A.","Queenstown, MD",Roundtable discussions and presentations regarding national spectrum policy,11/11/09,11/13/09,3,CA30 2009-11-11
CA30,"Waxman, Henry A.","Queenstown, MD",Partnership for Secure America,11/14/09,11/15/09,2,CA30 2009-11-14
CA30,"Waxman, Henry A.","Las Vegas, NV",Consumer Electronics Association,1/6/10,1/8/10,3,CA30 2010-01-06
CA30,"Waxman, Henry A.","New York, NY",Columbia University,2/14/10,2/15/10,2,CA30 2010-02-14
CA30,"Waxman, Henry A.","Boston, MA","Harvard Law School, Office of Public Interest Advising",3/1/10,3/2/10,2,CA30 2010-03-01
CA30,"Waxman, Henry A.","New York, NY",National Health Policy Forum,4/5/10,4/7/10,3,CA30 2010-04-05
CA30,"Waxman, Henry A.","Las Vegas, NV",The National Association of Broadcasters,4/11/10,4/13/10,3,CA30 2010-04-11
CA30,"Waxman, Henry A.","Cambridge, MD",Telecommunications Industry Association (TIA),4/23/10,4/24/10,2,CA30 2010-04-23
CA30,"Waxman, Henry A.","Los Angeles, CA",National Cable and Telecommunications Associations,5/10/10,5/12/10,3,CA30 2010-05-10
CA30,"Waxman, Henry A.","Detroit, MI",General Motors,5/13/10,5/14/10,2,CA30 2010-05-13
CA30,"Waxman, Henry A.","Tunis, Tunisia",The Aspen Institute Congressional Program,5/30/10,6/6/10,8,CA30 2010-05-30
CA30,"Waxman, Henry A.","Atlanta, GA",Connors Center for Women's Health and Gender Biology at Brigham and Women's Hospital,6/1/10,6/4/10,4,CA30 2010-06-01
CA30,"Waxman, Henry A.","San Francisco, CA",The Information Technology and Innovation Foundation,6/2/10,6/4/10,3,CA30 2010-06-02
